Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Nichtzyklische Konsumgüter","Aktien","139.282.153,95","0,25","139.282.153,95","2.154.403,00","64,65","Vereinigte Staaten","NASDAQ","USD"
"SYK","STRYKER CORP","Gesundheitsversorgung","Aktien","133.498.908,00","0,24","133.498.908,00","518.040,00","257,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADI","ANALOG DEVICES INC","IT","Aktien","132.673.796,79","0,24","132.673.796,79","830.301,00","159,79","Vereinigte Staaten","NASDAQ","USD"
"CB","CHUBB LTD","Financials","Aktien","132.296.236,15","0,24","132.296.236,15","664.705,00","199,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CME","CME GROUP INC CLASS A","Financials","Aktien","131.756.646,76","0,23","131.756.646,76","555.326,00","237,26","Vereinigte Staaten","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","IT","Aktien","130.313.387,22","0,23","130.313.387,22","650.851,00","200,22","Vereinigte Staaten","NASDAQ","USD"
"MMM","3M","Industrie","Aktien","127.870.726,50","0,23","127.870.726,50","889.845,00","143,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Aktien","127.840.915,50","0,23","127.840.915,50","653.550,00","195,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LRCX","LAM RESEARCH CORP","IT","Aktien","122.386.435,52","0,22","122.386.435,52","217.429,00","562,88","Vereinigte Staaten","NASDAQ","USD"
"TFC","TRUIST FINANCIAL CORP","Financials","Aktien","122.068.934,67","0,22","122.068.934,67","2.061.627,00","59,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Zyklische Konsumgüter ","Aktien","120.052.737,04","0,21","120.052.737,04","1.855.816,00","64,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Financials","Aktien","118.287.010,96","0,21","118.287.010,96","779.332,00","151,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BDX","BECTON DICKINSON","Gesundheitsversorgung","Aktien","117.979.251,92","0,21","117.979.251,92","443.048,00","266,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","117.306.897,18","0,21","117.306.897,18","1.935.438,00","60,61","Vereinigte Staaten","NASDAQ","USD"
