Fondsposition per,"03.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"PM","PHILIP MORRIS INTERNATIONAL INC","Nichtzyklische Konsumgüter","Aktien","127.678.306,63","0,27","127.678.306,63","1.229.923,00","103,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LIN","LINDE PLC","Materialien","Aktien","126.543.718,20","0,27","126.543.718,20","405.849,00","311,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","126.380.726,91","0,27","126.380.726,91","719.749,00","175,59","Vereinigte Staaten","NASDAQ","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aktien","125.305.123,50","0,27","125.305.123,50","512.810,00","244,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HSBA","HSBC HOLDINGS PLC","Financials","Aktien","121.025.591,55","0,26","121.025.591,55","16.276.311,00","7,44","Vereinigtes Königreich","London Stock Exchange","GBP"
"TD","TORONTO DOMINION","Financials","Aktien","120.236.835,42","0,26","120.236.835,42","1.449.219,00","82,97","Kanada","Toronto Stock Exchange","CAD"
"NEE","NEXTERA ENERGY INC","Versorger","Aktien","118.631.800,91","0,25","118.631.800,91","1.565.683,00","75,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","IT","Aktien","116.361.212,22","0,25","116.361.212,22","217.258,00","535,59","Vereinigte Staaten","NASDAQ","USD"
"BMY","BRISTOL MYERS SQUIBB","Gesundheitsversorgung","Aktien","115.618.735,83","0,25","115.618.735,83","1.804.569,00","64,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aktien","115.615.305,52","0,25","115.615.305,52","962.819,00","120,08","Vereinigte Staaten","NASDAQ","USD"
"CVS","CVS HEALTH CORP","Gesundheitsversorgung","Aktien","111.577.487,76","0,24","111.577.487,76","1.026.283,00","108,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrie","Aktien","111.190.556,45","0,24","111.190.556,45","1.198.045,00","92,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Financials","Aktien","110.910.898,91","0,24","110.910.898,91","1.084.279,00","102,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TTE","TOTALENERGIES","Energie","Aktien","110.421.207,54","0,24","110.421.207,54","1.945.529,00","56,76","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PYPL","PAYPAL HOLDINGS INC","IT","Aktien","109.697.484,60","0,23","109.697.484,60","882.522,00","124,30","Vereinigte Staaten","NASDAQ","USD"
"MDT","MEDTRONIC PLC","Gesundheitsversorgung","Aktien","109.199.602,51","0,23","109.199.602,51","1.068.803,00","102,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6758","SONY GROUP CORP","Zyklische Konsumgüter ","Aktien","109.063.573,96","0,23","109.063.573,96","995.698,00","109,53","Japan","Tokyo Stock Exchange","JPY"
"ORCL","ORACLE CORP","IT","Aktien","108.832.134,42","0,23","108.832.134,42","1.328.193,00","81,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","108.560.978,46","0,23","108.560.978,46","2.097.009,00","51,77","Vereinigtes Königreich","London Stock Exchange","GBP"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","104.881.204,78","0,22","104.881.204,78","546.997,00","191,74","Vereinigte Staaten","NASDAQ","USD"
"C","CITIGROUP INC","Financials","Aktien","103.299.988,74","0,22","103.299.988,74","1.582.899,00","65,26","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAP","SAP","IT","Aktien","101.868.448,28","0,22","101.868.448,28","817.794,00","124,56","Deutschland","Xetra","EUR"
"SCHW","CHARLES SCHWAB CORP","Financials","Aktien","101.851.850,91","0,22","101.851.850,91","1.145.819,00","88,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash und/oder Derivate","Money Market","101.277.990,45","0,22","101.277.990,45","101.277.990,00","1,00","Irland","-","USD"
"1299","AIA GROUP LTD","Financials","Aktien","100.233.986,23","0,21","100.233.986,23","9.685.474,00","10,35","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"AXP","AMERICAN EXPRESS","Financials","Aktien","100.232.416,92","0,21","100.232.416,92","544.623,00","184,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","100.086.061,32","0,21","100.086.061,32","446.733,00","224,04","Vereinigte Staaten","NASDAQ","USD"
