Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"VNA","VONOVIA SE","Immobilien","Aktien","20.015.809,05","0,32","20.015.809,05","450.705,00","44,41","Deutschland","Xetra","EUR"
"CAP","CAPGEMINI","IT","Aktien","19.940.132,50","0,31","19.940.132,50","109.261,00","182,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"FERG","FERGUSON PLC","Industrie","Aktien","19.913.043,91","0,31","19.913.043,91","150.244,00","132,54","Vereinigtes Königreich","London Stock Exchange","GBP"
"CRG","CRH PLC","Materialien","Aktien","19.852.827,54","0,31","19.852.827,54","514.722,00","38,57","Irland","Irish Stock Exchange - All Market","EUR"
"EQNR","EQUINOR","Energie","Aktien","19.842.181,31","0,31","19.842.181,31","691.907,00","28,68","Norwegen","Oslo Bors Asa","NOK"
"DSV","DSV","Industrie","Aktien","19.513.581,34","0,31","19.513.581,34","126.389,00","154,39","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"DSY","DASSAULT SYSTEMES","IT","Aktien","19.016.443,17","0,30","19.016.443,17","465.291,00","40,87","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aktien","18.782.306,88","0,30","18.782.306,88","344.756,00","54,48","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DB1","DEUTSCHE BOERSE AG","Financials","Aktien","18.684.072,00","0,29","18.684.072,00","122.760,00","152,20","Deutschland","Xetra","EUR"
"ATCO A","ATLAS COPCO CLASS A","Industrie","Aktien","18.275.274,97","0,29","18.275.274,97","416.759,00","43,85","Schweden","Nasdaq Omx Nordic","SEK"
"GIVN","GIVAUDAN SA","Materialien","Aktien","18.117.528,90","0,29","18.117.528,90","5.070,00","3.573,47","Schweiz","SIX Swiss Exchange","CHF"
"DSM","KONINKILIJKE DSM NV","Materialien","Aktien","17.979.629,25","0,28","17.979.629,25","113.115,00","158,95","Niederlande","Euronext Amsterdam","EUR"
"VOLV B","VOLVO CLASS B","Industrie","Aktien","17.781.420,38","0,28","17.781.420,38","1.028.304,00","17,29","Schweden","Nasdaq Omx Nordic","SEK"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","17.765.327,61","0,28","17.765.327,61","675.231,00","26,31","Niederlande","Euronext Amsterdam","EUR"
"BMW","BMW AG","Zyklische Konsumgüter ","Aktien","17.619.361,89","0,28","17.619.361,89","207.311,00","84,99","Deutschland","Xetra","EUR"
"UCG","UNICREDIT","Financials","Aktien","17.519.125,90","0,28","17.519.125,90","1.445.711,00","12,12","Italien","Borsa Italiana","EUR"
"PHIA","KONINKLIJKE PHILIPS NV","Gesundheitsversorgung","Aktien","17.440.175,76","0,28","17.440.175,76","587.607,00","29,68","Niederlande","Euronext Amsterdam","EUR"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Aktien","17.208.013,56","0,27","17.208.013,56","14.637,00","1.175,65","Schweiz","SIX Swiss Exchange","CHF"
"ERIC B","ERICSSON B","IT","Aktien","17.187.465,83","0,27","17.187.465,83","1.988.985,00","8,64","Schweden","Nasdaq Omx Nordic","SEK"
"AMS","AMADEUS IT GROUP SA","IT","Aktien","17.046.613,84","0,27","17.046.613,84","291.196,00","58,54","Spanien","Bolsa De Madrid","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Zyklische Konsumgüter ","Aktien","17.001.342,54","0,27","17.001.342,54","718.569,00","23,66","Spanien","Bolsa De Madrid","EUR"
"TSCO","TESCO PLC","Nichtzyklische Konsumgüter","Aktien","16.694.618,10","0,26","16.694.618,10","4.997.450,00","3,34","Vereinigtes Königreich","London Stock Exchange","GBP"
"SREN","SWISS RE AG","Financials","Aktien","16.676.542,20","0,26","16.676.542,20","186.944,00","89,21","Schweiz","SIX Swiss Exchange","CHF"
"NOKIA","NOKIA","IT","Aktien","16.512.237,74","0,26","16.512.237,74","3.479.557,00","4,75","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"RWE","RWE AG","Versorger","Aktien","16.493.260,41","0,26","16.493.260,41","437.371,00","37,71","Deutschland","Xetra","EUR"
"ENGI","ENGIE SA","Versorger","Aktien","16.486.220,52","0,26","16.486.220,52","1.201.970,00","13,72","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HOLN","HOLCIM LTD AG","Materialien","Aktien","16.208.550,34","0,26","16.208.550,34","366.341,00","44,24","Schweiz","SIX Swiss Exchange","CHF"
"AHT","ASHTEAD GROUP PLC","Industrie","Aktien","16.012.718,08","0,25","16.012.718,08","291.403,00","54,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Aktien","15.912.417,10","0,25","15.912.417,10","208.721,00","76,24","Vereinigtes Königreich","London Stock Exchange","GBP"
"VWS","VESTAS WIND SYSTEMS","Industrie","Aktien","15.837.157,58","0,25","15.837.157,58","653.693,00","24,23","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"EOAN","E.ON N","Versorger","Aktien","15.706.035,96","0,25","15.706.035,96","1.366.693,00","11,49","Deutschland","Xetra","EUR"
"STM","STMICROELECTRONICS NV","IT","Aktien","15.663.423,72","0,25","15.663.423,72","427.029,00","36,68","Frankreich","Borsa Italiana","EUR"
"HEXA B","HEXAGON CLASS B","IT","Aktien","15.325.713,93","0,24","15.325.713,93","1.367.693,00","11,21","Schweden","Nasdaq Omx Nordic","SEK"
"GLE","SOCIETE GENERALE SA","Financials","Aktien","15.226.793,40","0,24","15.226.793,40","557.758,00","27,30","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TEF","TELEFONICA SA","Kommunikation","Aktien","15.220.449,49","0,24","15.220.449,49","3.653.054,00","4,17","Spanien","Bolsa De Madrid","EUR"
"BA.","BAE SYSTEMS PLC","Industrie","Aktien","15.124.974,94","0,24","15.124.974,94","2.004.019,00","7,55","Vereinigtes Königreich","London Stock Exchange","GBP"
"DBK","DEUTSCHE BANK AG","Financials","Aktien","15.054.755,12","0,24","15.054.755,12","1.337.012,00","11,26","Deutschland","Xetra","EUR"
"WKL","WOLTERS KLUWER NV","Industrie","Aktien","14.827.832,32","0,23","14.827.832,32","167.584,00","88,48","Niederlande","Euronext Amsterdam","EUR"
"ASSA B","ASSA ABLOY B","Industrie","Aktien","14.706.437,69","0,23","14.706.437,69","640.469,00","22,96","Schweden","Nasdaq Omx Nordic","SEK"
"MRK","MERCK","Gesundheitsversorgung","Aktien","14.330.101,50","0,23","14.330.101,50","83.655,00","171,30","Deutschland","Xetra","EUR"
"RACE","FERRARI NV","Zyklische Konsumgüter ","Aktien","14.312.271,00","0,23","14.312.271,00","76.028,00","188,25","Italien","Borsa Italiana","EUR"
"LR","LEGRAND SA","Industrie","Aktien","14.244.305,32","0,22","14.244.305,32","172.742,00","82,46","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ORA","ORANGE SA","Kommunikation","Aktien","14.120.933,99","0,22","14.120.933,99","1.317.743,00","10,72","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SAND","SANDVIK","Industrie","Aktien","14.055.901,73","0,22","14.055.901,73","709.019,00","19,82","Schweden","Nasdaq Omx Nordic","SEK"
"CLNX","CELLNEX TELECOM SA","Kommunikation","Aktien","13.807.729,12","0,22","13.807.729,12","348.592,00","39,61","Spanien","Bolsa De Madrid","EUR"
"HEIA","HEINEKEN NV","Nichtzyklische Konsumgüter","Aktien","13.751.748,84","0,22","13.751.748,84","153.926,00","89,34","Niederlande","Euronext Amsterdam","EUR"
"FLTR","FLUTTER ENTERTAINMENT PLC","Zyklische Konsumgüter ","Aktien","13.719.510,60","0,22","13.719.510,60","113.244,00","121,15","Irland","Irish Stock Exchange - All Market","EUR"
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","13.614.804,00","0,21","13.614.804,00","109.620,00","124,20","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SAMPO","SAMPO","Financials","Aktien","13.531.281,94","0,21","13.531.281,94","329.549,00","41,06","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"GEBN","GEBERIT AG","Industrie","Aktien","13.286.371,23","0,21","13.286.371,23","23.164,00","573,58","Schweiz","SIX Swiss Exchange","CHF"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","13.235.727,99","0,21","13.235.727,99","757.843,00","17,47","Italien","Borsa Italiana","EUR"
"KNEBV","KONE","Industrie","Aktien","13.218.055,20","0,21","13.218.055,20","262.263,00","50,40","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"SSE","SSE PLC","Versorger","Aktien","12.986.454,85","0,20","12.986.454,85","686.313,00","18,92","Vereinigtes Königreich","London Stock Exchange","GBP"
