Fondsposition per,"01.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"COP","CONOCOPHILLIPS","Energie","Aktien","197.569.283,52","0,35","197.569.283,52","2.037.637,00","96,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","195.929.997,48","0,35","195.929.997,48","869.988,00","225,21","Vereinigte Staaten","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","195.196.726,80","0,35","195.196.726,80","1.063.163,00","183,60","Vereinigte Staaten","NASDAQ","USD"
"MS","MORGAN STANLEY","Financials","Aktien","194.277.199,71","0,34","194.277.199,71","2.217.017,00","87,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PYPL","PAYPAL HOLDINGS INC","IT","Aktien","193.273.046,00","0,34","193.273.046,00","1.814.600,00","106,51","Vereinigte Staaten","NASDAQ","USD"
"ORCL","ORACLE CORP","IT","Aktien","189.339.921,87","0,34","189.339.921,87","2.490.987,00","76,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Aktien","180.782.199,68","0,32","180.782.199,68","2.321.888,00","77,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","180.741.533,83","0,32","180.741.533,83","1.394.503,00","129,61","Vereinigte Staaten","NASDAQ","USD"
"C","CITIGROUP INC","Financials","Aktien","179.557.667,73","0,32","179.557.667,73","3.064.647,00","58,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOW","SERVICENOW INC","IT","Aktien","175.525.788,41","0,31","175.525.788,41","307.363,00","571,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aktien","173.120.485,23","0,31","173.120.485,23","379.143,00","456,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Aktien","172.574.149,46","0,31","172.574.149,46","969.191,00","178,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Aktien","172.019.466,00","0,30","172.019.466,00","524.130,00","328,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ANTM","ANTHEM INC","Gesundheitsversorgung","Aktien","169.306.179,00","0,30","169.306.179,00","374.986,00","451,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aktien","168.084.190,65","0,30","168.084.190,65","1.385.119,00","121,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Immobilien","Aktien","166.455.442,08","0,29","166.455.442,08","1.141.983,00","145,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BA","BOEING","Industrie","Aktien","166.132.902,87","0,29","166.132.902,87","852.357,00","194,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TGT","TARGET CORP","Zyklische Konsumgüter ","Aktien","165.418.622,08","0,29","165.418.622,08","753.856,00","219,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SBUX","STARBUCKS CORP","Zyklische Konsumgüter ","Aktien","164.268.071,24","0,29","164.268.071,24","1.822.366,00","90,14","Vereinigte Staaten","NASDAQ","USD"
"AMT","AMERICAN TOWER REIT CORP","Immobilien","Aktien","160.745.614,40","0,28","160.745.614,40","703.328,00","228,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Gesundheitsversorgung","Aktien","160.711.398,05","0,28","160.711.398,05","551.231,00","291,55","Vereinigte Staaten","NASDAQ","USD"
"BLK","BLACKROCK INC","Financials","Aktien","157.647.771,45","0,28","157.647.771,45","220.545,00","714,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GE","GENERAL ELECTRIC","Industrie","Aktien","156.592.972,62","0,28","156.592.972,62","1.696.014,00","92,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DE","DEERE","Industrie","Aktien","156.127.518,00","0,28","156.127.518,00","435.320,00","358,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrie","Aktien","152.609.846,47","0,27","152.609.846,47","834.709,00","182,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MU","MICRON TECHNOLOGY INC","IT","Aktien","149.029.245,50","0,26","149.029.245,50","1.727.675,00","86,26","Vereinigte Staaten","NASDAQ","USD"
"MO","ALTRIA GROUP INC","Nichtzyklische Konsumgüter","Aktien","146.270.569,50","0,26","146.270.569,50","2.836.350,00","51,57","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
